Song Name,Artists,Artist_ID,Track_ID
Can't Hold Us (feat. Ray Dalton),"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",3JhNCzhSMTxs9WLGJJxWOY,22skzmqfdWrjJylampe0kt
Stereo Hearts (feat. Adam Levine),"Gym Class Heroes, Adam Levine",4IJczjB0fJ04gs4uvP0Fli,0qOnSQQF0yzuPWsXrQ9paz
Dusk Till Dawn (feat. Sia) - Radio Edit,"ZAYN, Sia",5ZsFI1h6hIdQRw2ti0hz81,3e7sxremeOE3wTySiOhGiP
Bad Liar,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,2RSHsoi04658QL5xgQVov3
FRIENDS,"Marshmello, Anne-Marie",64KEffDW9EtZ1y2vBYgq8T,08bNPGLD8AhKpnnERrAc6G
Treat You Better,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,3QGsuHI8jO1Rx4JWLUh9jd
Love The Way You Lie,"Eminem, Rihanna",7dGJo4pcD2V6oG8kP0tJRR,15JINEqzVMv3SvJTAXAKED
Wolves,"Selena Gomez, Marshmello",0C8ZW7ezQVs4URX5aX7Kqx,0tBbt8CrmxbjRP0pueQkyU
Señorita,"Shawn Mendes, Camila Cabello",7n2wHs1TKAczGzO7Dd2rGr,6v3KW9xbzN5yKLt9YKDYA2
No Lie,"Sean Paul, Dua Lipa",3Isy6kedDrgPYoTS1dazA9,48QmG1dfvMuYLxMPt7KSRA
Whatever It Takes,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,6Qn5zhYkTa37e91HC1D7lb
Falling,Trevor Daniel,7uaIm6Pw7xplS8Dy06V6pT,0Aqi7ArnBrGblW5T6p2jmD
Hymn for the Weekend,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,3RiPr603aXAoi4GHyXx0uy
Counting Stars,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,2tpWsVSb9UEmDRxAl1zhX1
Rockabye (feat. Sean Paul & Anne-Marie),"Clean Bandit, Sean Paul, Anne-Marie",6MDME20pz9RveH9rEXvrOM,2hrUO4drrO63i7FYbCLBl2
Something Just Like This,"The Chainsmokers, Coldplay",69GGBxA162lTqCwzJG5jLp,6RUKPb4LETWmmr3iAEQktW
Perfect,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,0tgVpDi06FyKpA1z0VMD4v
Attention,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,5cF0dROlMOK5uNZtivgu50
Symphony (feat. Zara Larsson),"Clean Bandit, Zara Larsson",6MDME20pz9RveH9rEXvrOM,72gv4zhNvRVdQA0eOenCal
Believer,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,0pqnGHJpmpxLKifKRmU6WP
The Greatest,Sia,5WUlDfRSoLAfcVSX1WnrxN,6bLopGnirdrilrpdVB6Um1
Thunder,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,1zB4vmk8tFRmM9UULNzbLB
Closer,"The Chainsmokers, Halsey",69GGBxA162lTqCwzJG5jLp,7BKLCZ1jbUBVqRi2FVlTVw
Let Me Love You,"DJ Snake, Justin Bieber",540vIaP2JwjQb9dm3aArA4,0lYBSQXN6rCTvUZvg9S0lU
See You Again (feat. Charlie Puth),"Wiz Khalifa, Charlie Puth",137W8MRPWKqSmrBGDBFSop,2JzZzZUQj3Qff7wapcbKjc
Maps,Maroon 5,04gDigrS5kc9YWfZHwBETP,4gbVRS8gloEluzf0GzDOFc
I Don’t Wanna Live Forever (Fifty Shades Darker),"ZAYN, Taylor Swift",06HL4z0CvFAxyc27GXpf02,55n9yjI6qqXh5F2mYvUc2y
Animals,Maroon 5,04gDigrS5kc9YWfZHwBETP,2bL2gyO6kBdLkNSkxXNh6x
Shape of You,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,7qiZfU4dY1lWllzX7mPBI3
Paris,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,72jbDTw1piOOj770jWNeaG
The Middle,"Zedd, Maren Morris, Grey",2qxJFvFYMEDqd7ui6kSAcq,09IStsImFySgyp0pIQdqAc
Titanium (feat. Sia),"David Guetta, Sia",1Cs0zKBU1kc0i8ypK3B9ai,0lHAMNU8RGiIObScrsRgmP
"Take Me Home, Country Roads - Original Version",John Denver,7EK1bQADBoqbYXnT4Cqv9w,1YYhDizHx7PnDhAhko6cDS
Waiting for a Girl like You,Foreigner,6IRouO5mvvfcyxtPDKMYFN,2OgVsp77En2nju8pnCieVU
I Want to Know What Love Is - 1999 Remaster,Foreigner,6IRouO5mvvfcyxtPDKMYFN,1JLn8RhQzHz3qDqsChcmBl
As It Was,Harry Styles,6KImCVD70vtIoJWnq6nGn3,4Dvkj6JhhA12EX05fT7y2e
Viva La Vida,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,1mea3bSkSGXuIRvnydlB5b
Take on Me,a-ha,2jzc5TC5TVFLXQlBNiIUzE,2WfaOiMkCvy7F5fcp2zZ8L
Bohemian Rhapsody,Queen,1dfeR4HaWDbWqFHLkxsg1d,3z8h0TU7ReDPLIbEnYhWZb
The Final Countdown,Europe,7Js6Lde8thlIHXggv2SCBz,3MrRksHupTVEQ7YbA0FsZK
Live Is Life,Opus,5pf1217gT8zcjOFc7oMi47,76pyWH7ZLr6q4kJZS3MmEE
Cheap Thrills,Sia,5WUlDfRSoLAfcVSX1WnrxN,27SdWb2rFzO6GWiYDBTD9j
We Who Lament,"Earthside, Keturah",6mRDRKsNautYuxybddnvgg,60YFo3TyBJ1nd2Flke5SYK
"Alone, Pt. II","Alan Walker, Ava Max",7vk5e3vY1uw9plTHJAMwjN,28VbwtsYnj85UEODGpQRem
I'm Good (Blue),"David Guetta, Bebe Rexha",1Cs0zKBU1kc0i8ypK3B9ai,4uUG5RXrOk84mYEfFvj3cK
Bones,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,54ipXppHLA8U4yqpOFTUhr
Demons,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,5qaEfEh1AtSdrdrByCP7qR
Something Just Like This,"The Chainsmokers, Coldplay",69GGBxA162lTqCwzJG5jLp,6RUKPb4LETWmmr3iAEQktW
A Sky Full of Stars,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,0FDzzruyVECATHXKHFs9eJ
Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean",0EmeFodog0BfCgMzAIvKQp,3ZFTkvIE7kyPt6Nu3PEa7V
Wavin' Flag - Coca-Cola® Celebration Mix,K'NAAN,7pGyQZx9thVa8GxMBeXscB,4nOygULhEuDO5ZBRNPFaso
Time of Our Lives,Chawki,79b2ipSR68Uf9EzA438KZt,1OPLF48hCfqeEjlFP3e8xX
