Cleaned_Dialogue,Happiness,Contentment,Confidence,Neutral,Sadness,Anger,Fear,Surprise,Disgust,Love,Excitement,Anticipation,Nostalgia,Confusion,Frustration,Longing,Optimism
oh well likewise actually likewise ive never heard morning nice nice,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
ross dont tell benji proposal go ladies room,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
tell,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ok well would like dig painted desert,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
mm,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
see still several areas havent fully excavated,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
break charlie,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
say break charlie,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
well yes yes say didnt say,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
kind inappropriate,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
im sorry havent seen long feelings rushing back im starting realize much missed im gonna need break,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
say yes im serious say im joking,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
joking,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hi sorry im late,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hey go mike gonna let keep painting,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
really hates hes gonna let keep box human hair got pick battles good news gladys,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
wow whats bad news,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
whos gladys,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
oh shes work art made know woman coming frame,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
oh didnt know wanted,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
huh,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
well mean sure course already gave monica,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
know would give,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
couldnt let,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
want,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
dont want,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
insist,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
insist,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
landed food,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
hey joe,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
whats,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bad news watched tape passed along bosses werent interested,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
look one thing cast lie,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
im lying watched,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
watched,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
keep going pinocchio,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
watch tape,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
selection committee chosen three finalists today ultimate decision based upon answers give questions ask im gonna start dr li dr li claim field reliant linnaean taxonomic system propose correct problem,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
well believe answers lie osteological evidence plan begin,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
dr biely proposal includes field work might take place,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
certainly well dr geller birthday,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
care venture guess,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
half dozen,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
see dr biely,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
three excavation two analysis,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
certainly dr geller 1965 shirelles hit later covered popular british invasion band,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
im sorry looking baby baby,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
wha wait wait wait minute none questions anything paleontology,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
youre right apologize scratch last question spell boscodictiasaur,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
yeah made spell,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
starts silent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
oh come,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
cant believe joey hate called liar,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
say,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
still,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
yes say hurt insulted tell somebody something,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ok whoahhey let stop right ok first lied right,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
sure didnt watch tape,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
really,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
really doesnt anything coming maybe place bedroom,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
ive come apologize think may let feelings charlie interfere interview process,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
anyway ive decided offer grant,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
well one small stipulation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
break charlie,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
hey got one right,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
youre crazy,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
crazy romantic,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
crazy,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
ooh god,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
joey,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
got monica sold,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
joey keeping,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
original buffay,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
alright fine keep long dont mind shes haunted,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
hey wey whoo,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
well legend joey comes alive youre asleep,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
get legless witch,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
hey sold joey,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cant shes,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
shes,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
shes,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
shes mine,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
shes miine,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
want gladys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
thats point chandler point lied,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
know youre right whats gonna take forgive,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
oh god,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
excellent,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
say,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
lying wrong,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
im pretty little girl,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
knew,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
exboyfriend insane,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
get grant,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
didnt want know exboyfriend still love,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
yeah wouldnt give grant,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
benji isnt love mean broke,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
really ethical ask someone grant review voice underdog,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
im sure joking ross,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dont believe lets go talk okay im telling didnt ask,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
seriously,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
oh im sorry ask one uhm spell mboscodictiosaur,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
well like lake mbosco congo mbo,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
damnit,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
dr geller charlie,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
want tell everything deal tried make crazy questions wally cox thats voice underdog,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
like tried tell interview ross grant based knowledge pretty useless trivia,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
dont want look eyes tell truth,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
benji,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
alright true behaved horribly still love would,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
little late benji,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
cant believe,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
never broken think time mean ever still think,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
yes,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
dont know say benji romantic,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
listen know may way bounds chance take back,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
maybe,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
sweetie conversation starting make little uncomfortable,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
love,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
okay thats seeing people,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
gladys,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
ha ha ha third time week man get old,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
youre mean,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
oh dont baby,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
oh nothing it’s acting exercise i’m practising fakelaugh,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
whatwhat’s funny,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
oh come man least let finish last one,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
okay give drag,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
okay,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nono don’t hang one,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
okay that’s like least fun game ever,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
come it’s hypnosis tape woman work used twoweeks straight hasn’t smoked since,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
pffhah,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
nothing it’s hypnosis beyond crap,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ross watched get hypnotised atlantic city,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
hey guy hypnotise okay,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
right yknow forget hypnosis way quit smoking haveto dance naked field heather bath sweat six healthy young men,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
father called thursday night,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
go,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oh yknow didn’t want cinnamon,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
oh god,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
hi,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
frank hi,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
oh well yknow would’ve called lost phone number andthen ah mom locked house couldn’t find triedto find pay phone ah receiver cut,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
happened,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
ah oh ah vandalism,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
also happened mom,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
well got fight ‘cause ah said immature toget married,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
getting married,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
oh yeah,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
wow,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
little brother’s getting married,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
oh knew you’d cool right ah hey youwant meet,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
yeah yeah,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yknow would’ve bet good money he’d first oneof us get married,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
yeah isn’t fantastic,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
yeah ah pheebs don’t think he’s little young toget married,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
he’s 18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
exactly it’ll illegal drink bachelor party,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
yeah oror get hooker,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
always illegal joe,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
yknow itit’s funny um frank told much yournot pictured,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
yeah i’m big surprise,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
um howhow guys meet,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
well um ah mrs knight’s ah mean alice sorry alice ialways ah home ec class,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
best student,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yeah best teacher,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
doesn’t keep kids school,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
guys gonna married,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
yeah yknow wewe talked living together um want tohave kids right away,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
oh god great,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
wow kids frank sure you’re ready,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mean hard yknow mean yknow babies yknow whodoesn’t want babies right besides yknow never dad around ahnownow always ‘cause yknow it’ll right,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
yknow mean really realise there’s age differencebetween us,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
oh good okay ‘cause acting like didn’t,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
oh comes love age matter,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
falling fast asleep deeper deeper deeper nowcompletely asleep don’t need smoke cigarettes don’t control youare strong confident woman need smoke strong confident woman,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
yknow realised last year i’ve goneout two guys richard julio gotta help gotta set yougotta get back game,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
well shouldn’t problem mean work fashion alli meet eligible straight men,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
yeah slice cheesecake andand date you’re given’‘em,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
haven’t covered topic,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
hmm come said you…,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
aww reason want go blond wigand big boobs fact serve food,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
mean really think,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
hoho,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
pheebs age thing,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
nono oh i’m fine age thing yknow startssticking it’s tongue little brother’s throat,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
pheebs seems enjoy,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
well havehave told feel,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
yes loud,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
pheebs don’t tell soon he’s gonna married andthen you’re gonna hate,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
come guys nothing lose everything losedo want lose everything everything,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
we’re walking street turn say“hey let’s go hang totally nude nudes” remember andthen turn say “nah let’s hang place”well nice move dumb ass,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
think definitely go guy,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
nah doesn’t anything,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
monica last saturday night happened,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
right,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hey,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
yknow forgot combination year ago justcarry around chap stick,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
uh yeah,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
hey tapes working ya,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
yknow pretty good,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yeah,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
good haven’t smoked yet today feel great andandandconfident stunning blouse,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thank,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
thanks,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hey mon let’s give pete chance come funny seemsreally nice check thing adorable,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
check thing,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
joke customer work crush gave 20000tip number check i’d call,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
that’s bill clinton,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
who’s huggin’,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
oh god that’s pete bill huggin’ pete,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
guy invented moss 865 every office world uses thatprogram,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
use,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
go,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
oh god monica’s gonna go millionaire,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
i’m gonna go,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
oh god can’t believe real 20000 check oh isjust exciting,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
incredibly offensive,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
oh yeah sure,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
we’re saying don’t rush anything,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
yeah come think you’re 18 okay she’s 44 whenyou’re 36 she’s gonna 88,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
don’t think know,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
look point there’s lot women haven’teven sex yet,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
yeah hehe’s right he’s right time yknow yeahyou’re young you’reyou’re weird chicks dig,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
okay isn’t sex better it’s one person youreally really care,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
yeah poem maybe,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
man’s right that’s rachel,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
don’t anymore,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
ah slept someone else,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
