Cleaned_Dialogue,Happiness,Contentment,Confidence,Neutral,Sadness,Anger,Fear,Surprise,Disgust,Love,Excitement,Anticipation,Nostalgia,Confusion,Frustration,Longing,Optimism
hes not right for the part so if i suggest him my bosses are gonna think im an idiot and thats something they should learn on their own,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
just tell joey that you watched the tape and you liked it but your bosses didnt then that way youre the good guy and theyre the bad guys,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
i cant believe im about to meet benjamin hobart ive always thought of him as one of the people id invite to my fantasy dinner party do you think theres any chance hell bring christie brinkley or c3po,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
charlie my god you look absolutely stunning,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
well i i am having a good hair day,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
so good to see you,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
im ok,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
oh well likewise actually not likewise ive never heard of you until this morning but its nice to be nice,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
ross why dont you tell benji about your proposal while i go to the ladies room,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
so tell me about it,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ok well i would like to do a dig in the painted desert,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
mm,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
see there are still several areas that havent been fully excavated,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
break up with charlie,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
what,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
did you just say break up with charlie,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
well yes and now yes i did say it and no i didnt not say it,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
kind of inappropriate,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
im sorry i just havent seen her for so long all these feelings are rushing back im starting to realize how much i missed her and im gonna need you to break up with her,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
are you,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
if you say yes then im serious if you say no then im joking,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
no,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
joking it is,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hi sorry im late,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hey how did it go with mike is he gonna let you keep the painting,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
no he really hates it but hes gonna let me keep my box of human hair so you got to pick your battles but the good news is gladys is yours,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
wow whats the bad news,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
whos gladys,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
oh shes that work of art i made you know with the woman coming out of the frame,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
oh i didnt know you wanted her too,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
huh,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
well i mean sure of course but you already gave that to monica so,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
you know i would give her up for you,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
no i couldnt let you do that,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
but i want to,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
but i dont want you to,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
but i insist,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
but i insist,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
no that landed in your food,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
hey joe,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
whats up,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bad news i watched the tape and passed it along to my bosses and they werent interested,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
look its one thing not to cast me but to lie to me,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
im not lying to you i watched it,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
i watched it,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
keep going pinocchio,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
did you watch the tape,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
the selection committee has chosen the three of you as our finalists today the ultimate decision will be based upon the answers you give to the questions i ask here im gonna start with dr li dr li you claim the field is too reliant on the linnaean taxonomic system how do you propose to correct this problem,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
well i believe that the answers lie in the osteological evidence i plan to begin there,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
dr biely your proposal includes some field work where might that take place,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
certainly very well and dr geller when is my birthday,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
care to venture a guess,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
half a dozen,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
i see and dr biely,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
three for excavation and two for analysis,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
certainly dr geller which 1965 shirelles hit was later covered by a popular british invasion band,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
no im sorry we were looking for baby its you baby its you,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
wha wait wait wait just a minute none of my questions have anything to do with paleontology,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
youre right i apologize scratch the last question spell boscodictiasaur,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
yeah i just made it up spell it,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
no it starts with a silent m,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
oh come on,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
i cant believe joey i hate being called a liar,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
but you,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
what did i just say,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
you still here,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
yes and i have to say i am not just hurt i am insulted when i tell somebody i did something,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ok whoahhey let me just stop you right there ok first you lied right,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
why are you so sure i didnt watch this tape,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
he really,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
really it doesnt have anything coming out of it or maybe there is some place for her in your bedroom,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
ive come here to apologize i think i may have let my feelings for charlie interfere with the interview process,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
anyway ive decided to offer you the grant,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
well there is just one small stipulation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
i have to break up with charlie,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
hey you got one right,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
youre crazy,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
crazy or romantic,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
crazy,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
ooh my god,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
joey what is this,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
i got it from monica she sold it to me for a,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
joey were not keeping this,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
but its an original buffay,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
alright fine you can keep it as long as you dont mind that shes haunted,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
hey what what wey whoo what what,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
well legend has it joey that she comes alive when youre asleep,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
get that legless witch out of here,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
hey i sold that to joey,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
no you cant shes yours,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
shes yours,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
shes yours,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
shes mine,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
shes miine,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
i want gladys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
thats not the point chandler the point is that you lied,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
i know youre right whats it gonna take for you to forgive me,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
oh my god,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
excellent,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
now what do you say,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
lying is wrong,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
and and,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
im a pretty little girl,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
i knew it,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
your exboyfriend is insane,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
did you get the grant,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
no i didnt and you want to know why because your exboyfriend is still in love with you,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
yeah he wouldnt give me the grant because,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
benji isnt in love with me i mean he broke up with,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
really is it ethical to ask someone in a grant review who was the voice of underdog,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
im sure he was just joking ross,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
if you dont believe me lets go talk to him okay im telling you he didnt ask me,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
seriously,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
oh im sorry no he did ask me one uhm how do you spell mboscodictiosaur,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
well if its like the lake mbosco in congo then mbo,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
damnit,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
dr geller charlie what are you what are you doing here,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
i want you to tell her everything about the deal you tried to make with me about the crazy questions you wally cox thats the voice of underdog,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
like i tried to tell you in the interview ross this grant is not based on your knowledge of pretty useless trivia,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
no no no dont do that i want you to look her in the eyes and tell her the truth,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
benji,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
alright its true i behaved horribly but its only because i still love you and i would do,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
too little too late benji,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
i cant believe this,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
i never should have broken up with you i think about you all the time i mean do you ever still think about me,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
yes,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
i dont know what to say benji this is all so romantic,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
or,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
listen i know i may be way out of bounds here but is there any chance you will take me back,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
maybe,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
sweetie this conversation is starting to make me a little uncomfortable,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
i love you,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
okay thats it we are seeing other people,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
gladys,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
ha ha ha third time this week man this does not get old,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
youre mean,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
oh dont be such a baby,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
oh nothing no it’s an acting exercise i’m practising my fakelaugh,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
whatwhat’s so funny,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
oh come on man at least let me finish this last one,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
okay but only if you give me a drag,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
okay,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nono why don’t you hang on to that one,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
okay that’s like the least fun game ever,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
come on it’s a hypnosis tape this woman at work used it for twoweeks straight and she hasn’t smoked since,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
pffhah,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
nothing it’s just that hypnosis is beyond crap,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ross i watched you get hypnotised in atlantic city,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
hey that guy did not hypnotise me okay,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
all right yknow forget hypnosis the way to quit smoking is you haveto dance naked in a field of heather and then bath in the sweat of six healthy young men,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
or what my father called thursday night,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
here you go,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oh yknow what i didn’t want cinnamon on this,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
oh my god,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
hi,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
frank hi,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
how are you,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
what are you doing here,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
oh well yknow i would’ve called but i lost your phone number andthen ah my mom locked me out of the house so i couldn’t find it and then i triedto find a pay phone and ah the receiver was cut off so,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
what happened,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
ah oh the ah vandalism,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
but also what happened between you and your mom,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
well we got into a fight ‘cause ah she said i was to immature toget married,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
your getting married,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
oh yeah,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
wow,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
my little brother’s getting married,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
oh i knew you’d be so cool about this all right ah hey do youwant to meet her,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
do i,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
do you,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
yeah i do yeah,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yknow i would’ve bet good money that he’d be the first oneof us to get married,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
yeah isn’t it fantastic,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
yeah ah but pheebs don’t you think he’s a little young toget married,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
what he’s 18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
exactly it’ll be illegal for him to drink at his own bachelor party,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
yeah oror to get a hooker,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
always illegal joe,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
yknow itit’s funny um frank told me so much about you but yournot how i pictured you at all,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
yeah i’m a big surprise,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
so um howhow did you guys meet,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
well um i was in ah mrs knight’s ah i mean alice sorry alice ialways do that i was in her ah home ec class,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
and he was my best student,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yeah she was my best teacher,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
if that doesn’t keep kids in school what will,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
and so now you guys are gonna be married,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
yeah yknow wewe talked about just living together but um we want tohave kids right away,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
oh my god great,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
wow kids frank are you sure you’re ready for that,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
i mean how hard can it be yknow i mean yknow babies yknow whodoesn’t want babies right and besides yknow i never had a dad around and ahnownow i always will ‘cause yknow it’ll be me right,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
yknow i mean really we do realise that there’s an age differencebetween us,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
oh good okay ‘cause you were acting like you didn’t,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
oh no but when it comes to love what does age matter,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
you are falling fast asleep deeper deeper deeper you are nowcompletely asleep you don’t need to smoke cigarettes don’t control you youare a strong confident woman who does not need to smoke a strong confident woman,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
and yknow what i just realised in the last year i’ve only goneout with two guys richard and julio you gotta help me out here you gotta set me up yougotta get me back in the game,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
well that shouldn’t be a problem i mean i work in fashion and alli meet are eligible straight men,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
yeah a slice of cheesecake andand a date if you’re given’‘em out,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
haven’t you and i covered that topic,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
hmm come on you just said to her that you…,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
aww the only reason you want to go out with me because my blond wigand the big boobs and the fact that i serve you food,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
i mean really think about it,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
hoho i will,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
pheebs what is it the age thing,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
nono oh i’m fine with the age thing yknow until it startssticking it’s tongue down my little brother’s throat,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
pheebs he seems to enjoy it,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
well havehave you told him how you feel,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
yes not out loud,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
pheebs if you don’t tell him soon he’s gonna be married andthen you’re gonna hate yourself,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
come on you guys you have nothing to lose i have everything to losedo you want me to lose everything everything,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
no,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
so we’re walking down the street and i turn to you and i say“hey let’s go hang out at totally nude nudes” remember and then andthen you turn to me and say “nah let’s just hang out at your place”well that was a nice move dumb ass,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
i think you should definitely go out with this guy,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
